commit,wasted
54f0e5fce5d3c78a66c324b5c2030418d0cc1cd6,3
d2196d64b8fee7b14d5b57ea336f2d34a51d8c5d,7
1ff2aab37034dcbdbd53d27f00fd69e433652722,311
5f1a6efeb54345b91fb52394754cccb181427af9,1
2b52c1b2a2c938c5cd2416fc01fb8cb4fc412f3b,59
0125b58b5e53fc0cd7e2f46427863b41fbae51c5,9
5db1a1d6918c597e7843fe1c994ffcb8f4017676,253
f03b4726f3d03f3aa1585d987387d9822d70932e,1
341405e46dcc14c3fc6a99b234a3ca2423fdc9aa,2
db48681473a3b2c8c0d8f84cafee23040d155691,238
0871319209759a7dd6c089499d0e12960ab8c6f6,646
1b4748bc63ae63378904abb10d3745f85f7214d6,7
5be9d8cd1141aaa4f0baabd8d4e21fafc38845a9,47
4fe63ca7db89f6de9afc156a227b676bd4fff8d7,17
63137730729dd24c281d91c90ad8e5aa9972d84b,5
6b4ff4cbf1c40f1ce2b54bf82690ae50ece11554,1
200d7eae250672113095cf2a866e68ab5ac784dd,3407
159557076f37dd0e213ab40db82dd5a12b5636f7,1
955c2cc55232d44608d7038401d85523e4bbf1df,1
6ad83895fd2a163a8ad9d83b77dd75984dc0e3ad,33
e84f1ae3a30384854bb893fe4584c41a82760f37,145
ae88d78786679b7ce87fceca4ca63009e8c50af6,3978
70aa282930b2ffbab37b2bc257036cf38e9c158d,19
bcf1d6f0748069b152e9e89bb63194df8917fc56,13
c82a9d02e5168035c77fc2def1e5a596f7c3f08a,4
14968ddfb3f0ef758618b51129893e2acee8053c,1
efff9bff9f6e7a651293fbb8ddc609f8303c91d6,4
91bc3c6f0fa91395cc9dedcc31e3a601f4a614c4,2
3d62bd7f84696f557add1e869ee82b3802061a54,249
491ec4b9af63189f62be9784bff17311a1cac7d5,9
c8056ef9ae57b592968ff91223d6ae26be6f45a0,5
4a46270ec4533980766d72801cea6ff289abc1b3,1356
d92d1af137741bcbb23b51d9ab0d9a6aef036562,30
95a6c0e0ca8fc45808e978343d7534a2f86fff52,1
d31e97afc1ceb8330b2b3b78edd46af906d7f2ec,322
6778770c318b405a07a93e505766cfa2ad6dca2f,4
dc243d6f99fedd56f3865bd15fcb5f89e8762b51,3
65c0935e923e09cee347899df8ac82f229036b33,1
3aa56a3a8f7192ca0023b511475c06c0d27b640c,3
8430cf6e865ffa823205e3e61d7bf4c8e502ae68,3
f2c9aea75ff4e8b69a5f28c701beb51007eb9fb6,66
